Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729711357199,708.1168365478516,1600,2,0.74375,708.1168365478516,1600,2,0.74375,632.1859893798828,1600,2,0.74375,632.1859893798828,1600,2,0.74375,31934.139587402344,1440,1694,1452,1453,1454,1514,1292,1453,12.195121765136719,7.317072868347168,9.523809432983398,7.317072868347168,9.756096839904785,5,5,14.634145736694336,7846793216,4294963200,2167336960,524288
199,1729711357200,708.1173400878906,1600,2,0.74375,708.1173400878906,1600,2,0.74375,632.1864471435547,1600,2,0.74375,632.1864471435547,1600,2,0.74375,31934.143646240234,1440,1694,1452,1453,1454,1514,1292,1453,12.195121765136719,7.317072868347168,9.523809432983398,7.317072868347168,9.756096839904785,5,5,14.634145736694336,7846793216,4294963200,2167336960,524288
1,1729711357400,708.1182403564453,1450,2,0.74375,708.1182403564453,1450,2,0.74375,632.1999969482422,2900,0,0.74375,632.1999969482422,2900,0,0.74375,31934.439819335938,1440,1694,1452,1453,1454,1514,1292,1453,0,0,10.526315689086914,0,0,4.761904716491699,0,0,7846793216,4294963200,2171461632,524288
