Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729707513782,700.8488006591797,1600,2,0.74375,700.8488006591797,1600,2,0.74375,621.3656158447266,1600,2,0.74375,621.3656158447266,1600,2,0.74375,27235.437210083008,2879,1600,2772,1860,1381,1286,1286,1286,10,7.500000476837158,17.5,7.500000476837158,9.756096839904785,7.500000476837158,10,11.904762268066406,7846793216,4294963200,2160414720,524288
199,1729707513783,700.8488159179688,1600,2,0.74375,700.8488159179688,1600,2,0.74375,621.3661346435547,1600,2,0.74375,621.3661346435547,1600,2,0.74375,27235.4415435791,2879,1600,2772,1860,1381,1286,1286,1286,10,7.500000476837158,17.5,7.500000476837158,9.756096839904785,7.500000476837158,10,11.904762268066406,7846793216,4294963200,2160414720,524288
1,1729707513983,700.8495330810547,1450,2,0.74375,700.8495330810547,1450,2,0.74375,621.3668823242188,2900,0,0.74375,621.3668823242188,2900,0,0.74375,27235.937728881836,2879,1600,2772,1860,1381,1286,1286,1286,0,0,5,0,40,0,0,0,7846793216,4294963200,2166063104,524288
