Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729705351824,696.8834533691406,1600,2,0.75,696.8834533691406,1600,2,0.75,614.6943054199219,1600,2,0.75,614.6943054199219,1600,2,0.75,24597.58074951172,2375,2200,1600,3547,1507,1600,1507,1424,5.263157844543457,10,7.692307949066162,9.756096839904785,17.5,7.500000476837158,10.256410598754883,7.692307949066162,7846793216,4294963200,2172211200,524288
200,1729705351824,696.8834991455078,1600,2,0.75,696.8834991455078,1600,2,0.75,614.6943206787109,1600,2,0.75,614.6943206787109,1600,2,0.75,24597.5850982666,2375,2200,1600,3547,1507,1600,1507,1424,5.263157844543457,10,7.692307949066162,9.756096839904785,17.5,7.500000476837158,10.256410598754883,7.692307949066162,7846793216,4294963200,2172469248,524288
1,1729705352025,696.8837127685547,1600,2,0.74375,696.8837127685547,1600,2,0.74375,614.6954650878906,2900,0,0.75,614.6954650878906,2900,0,0.75,24597.90757751465,2375,2200,1600,3547,1507,1600,1507,1424,0,0,4.761904716491699,0,0,0,0,22.72727394104004,7846793216,4294963200,2180726784,524288
