Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729709795809,705.5240783691406,1600,2,0.75,705.5240783691406,1600,2,0.75,628.3357543945313,1600,2,0.75,628.3357543945313,1600,2,0.75,30031.617248535156,1286,1286,1600,2774,1306,1286,1286,1600,8.108107566833496,10.526315689086914,7.894736289978027,5.405405521392822,10.810811042785645,5.405405521392822,7.894736289978027,15.789472579956055,7846793216,4294963200,2150158336,524288
199,1729709795810,705.5243988037109,1600,2,0.75,705.5243988037109,1600,2,0.75,628.3357543945313,1600,2,0.75,628.3357543945313,1600,2,0.75,30031.621475219727,1286,1286,1600,2774,1306,1286,1286,1600,8.108107566833496,10.526315689086914,7.894736289978027,5.405405521392822,10.810811042785645,5.405405521392822,7.894736289978027,15.789472579956055,7846793216,4294963200,2150416384,524288
1,1729709796010,705.5610961914063,1450,2,0.74375,705.5610961914063,1600,2,0.91875,628.3362884521484,1600,2,0.91875,628.3362884521484,1600,2,0.91875,30031.96403503418,1286,1286,1600,2774,1306,1286,1286,1600,0,20,0,0,0,0,0,0,7846793216,4294963200,2158415872,524288
