Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729698386022,683.0282745361328,1600,2,0.74375,683.0282745361328,1600,2,0.74375,598.4718322753906,1600,2,0.74375,598.4718322753906,1600,2,0.74375,16109.528289794922,1286,1286,2826,2532,1286,1600,1596,1286,10.256410598754883,5.405405521392822,10.256410598754883,8.108107566833496,13.1578950881958,8.108107566833496,7.692307949066162,10.526315689086914,7846793216,4294963200,2171834368,524288
200,1729698386022,683.0283203125,1600,2,0.74375,683.0283203125,1600,2,0.74375,598.4718627929688,1600,2,0.74375,598.4718627929688,1600,2,0.74375,16109.532638549805,1286,1286,2826,2532,1286,1600,1596,1286,10.256410598754883,5.405405521392822,10.256410598754883,8.108107566833496,13.1578950881958,8.108107566833496,7.692307949066162,10.526315689086914,7846793216,4294963200,2171834368,524288
1,1729698386223,683.0288238525391,1600,2,0.9125,683.0288238525391,1600,2,0.9125,598.472412109375,1600,2,0.9125,598.472412109375,1600,2,0.9125,16109.83853149414,1286,1286,2826,2532,1286,1600,1596,1286,0,0,0,0,0,0,0,14.285715103149414,7846793216,4294963200,2175934464,524288
