Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729700187353,685.9419860839844,1600,2,0.74375,685.9419860839844,1600,2,0.74375,602.5578765869141,1600,2,0.74375,602.5578765869141,1600,2,0.74375,18309.011306762695,1287,1286,2760,2695,2631,1600,1286,1286,12.820513725280762,10.526315689086914,8.108107566833496,7.894736289978027,10.526315689086914,8.333333969116211,5.555555820465088,16.216215133666992,7846793216,4294963200,2158166016,524288
199,1729700187353,685.9420013427734,1600,2,0.74375,685.9420013427734,1600,2,0.74375,602.5583953857422,1600,2,0.74375,602.5583953857422,1600,2,0.74375,18309.015914916992,1287,1286,2760,2695,2631,1600,1286,1286,12.820513725280762,10.526315689086914,8.108107566833496,7.894736289978027,10.526315689086914,8.333333969116211,5.555555820465088,16.216215133666992,7846793216,4294963200,2158166016,524288
1,1729700187554,685.9432220458984,1450,2,0.74375,685.9432220458984,1450,2,0.74375,602.57177734375,2900,0,0.74375,602.57177734375,2900,0,0.74375,18309.33790588379,1287,1286,2760,2695,2631,1600,1286,1286,0,0,14.285715103149414,0,0,0,0,4.761904716491699,7846793216,4294963200,2166161408,524288
