Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729704271058,695.1586303710938,1600,2,0.74375,695.1586303710938,1600,2,0.74375,611.8395538330078,1600,2,0.74375,611.8395538330078,1600,2,0.74375,23277.747467041016,2889,2487,2791,1605,1284,1600,1286,1286,9.523809432983398,7.500000476837158,17.073171615600586,7.317072868347168,9.756096839904785,9.523809432983398,9.756096839904785,7.317072868347168,7846793216,4294963200,2164797440,524288
200,1729704271058,695.1586456298828,1600,2,0.74375,695.1586456298828,1600,2,0.74375,611.8400726318359,1600,2,0.74375,611.8400726318359,1600,2,0.74375,23277.751724243164,2889,2487,2791,1605,1284,1600,1286,1286,9.523809432983398,7.500000476837158,17.073171615600586,7.317072868347168,9.756096839904785,9.523809432983398,9.756096839904785,7.317072868347168,7846793216,4294963200,2165542912,524288
1,1729704271258,695.159912109375,1450,2,0.75,695.159912109375,1450,2,0.75,611.8413696289063,2900,0,0.75,611.8413696289063,2900,0,0.75,23278.04396057129,2889,2487,2791,1605,1284,1600,1286,1286,0,0,0,4.761904716491699,0,10,0,0,7846793216,4294963200,2169413632,524288
