Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729706552819,699.3306274414063,1600,2,0.74375,699.3306274414063,1600,2,0.74375,618.0309295654297,1600,2,0.74375,618.0309295654297,1600,2,0.74375,26064.802932739258,1287,1284,2884,2313,1506,1286,1654,1600,7.500000476837158,10,7.500000476837158,9.523809432983398,7.500000476837158,5,17.5,7.500000476837158,7846793216,4294963200,2166484992,524288
200,1729706552819,699.3306427001953,1600,2,0.74375,699.3306427001953,1600,2,0.74375,618.0309448242188,1600,2,0.74375,618.0309448242188,1600,2,0.74375,26064.807189941406,1287,1284,2884,2313,1506,1286,1654,1600,7.500000476837158,10,7.500000476837158,9.523809432983398,7.500000476837158,5,17.5,7.500000476837158,7846793216,4294963200,2166484992,524288
1,1729706553020,699.33154296875,1450,2,0.74375,699.33154296875,1450,2,0.74375,618.0315246582031,2900,0,0.74375,618.0315246582031,2900,0,0.74375,26065.22235107422,1287,1284,2884,2313,1506,1286,1654,1600,0,0,0,0,0,35,0,0,7846793216,4294963200,2174484480,524288
