Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729704391132,695.3593139648438,1600,2,0.75,695.3593139648438,1600,2,0.75,612.0723876953125,1600,2,0.75,612.0723876953125,1600,2,0.75,23424.074096679688,1286,1291,2834,1863,1286,1286,1286,1600,7.692307949066162,7.500000476837158,9.756096839904785,7.500000476837158,7.317072868347168,15.000000953674316,9.756096839904785,9.756096839904785,7846793216,4294963200,2166153216,524288
200,1729704391132,695.3593292236328,1600,2,0.75,695.3593292236328,1600,2,0.75,612.0728607177734,1600,2,0.75,612.0728607177734,1600,2,0.75,23424.078323364258,1286,1291,2834,1863,1286,1286,1286,1600,7.692307949066162,7.500000476837158,9.756096839904785,7.500000476837158,7.317072868347168,15.000000953674316,9.756096839904785,9.756096839904785,7846793216,4294963200,2166411264,524288
1,1729704391333,695.3602294921875,1450,2,0.74375,695.3602294921875,1450,2,0.74375,612.1156463623047,1600,2,0.91875,612.1156463623047,1600,2,0.91875,23424.43797302246,1286,1291,2834,1863,1286,1286,1286,1600,0,0,21.052631378173828,0,0,0,0,0,7846793216,4294963200,2174410752,524288
