Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729699827010,685.3690032958984,1600,2,0.75,685.3690032958984,1600,2,0.75,601.7251892089844,1600,2,0.75,601.7251892089844,1600,2,0.75,17870.271545410156,1286,1419,1600,2769,1600,1286,1286,1600,17.5,12.5,10,7.692307949066162,7.894736289978027,10.256410598754883,10.256410598754883,7.692307949066162,7846793216,4294963200,2171424768,524288
200,1729699827011,685.3694000244141,1600,2,0.75,685.3694000244141,1600,2,0.75,601.7251892089844,1600,2,0.75,601.7251892089844,1600,2,0.75,17870.271545410156,1286,1419,1600,2769,1600,1286,1286,1600,17.5,12.5,10,7.692307949066162,7.894736289978027,10.256410598754883,10.256410598754883,7.692307949066162,7846793216,4294963200,2171424768,524288
1,1729699827211,685.3705749511719,1600,2,0.75,685.3705749511719,1450,2,0.74375,601.7261199951172,2900,0,0.74375,601.7261199951172,2900,0,0.74375,17870.693389892578,1286,1419,1600,2769,1600,1286,1286,1600,4.761904716491699,0,0,0,0,0,31.57894515991211,0,7846793216,4294963200,2179653632,524288
