Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729704030910,694.6060791015625,1600,2,0.74375,694.6060791015625,1600,2,0.74375,611.3334655761719,1600,2,0.74375,611.3334655761719,1600,2,0.74375,22984.393188476563,1283,1286,2833,1600,1600,1286,2347,2471,9.756096839904785,7.500000476837158,7.500000476837158,9.756096839904785,7.500000476837158,15.384615898132324,9.756096839904785,5,7846793216,4294963200,2161451008,524288
200,1729704030910,694.6065368652344,1600,2,0.74375,694.6065368652344,1600,2,0.74375,611.33349609375,1600,2,0.74375,611.33349609375,1600,2,0.74375,22984.397338867188,1283,1286,2833,1600,1600,1286,2347,2471,9.756096839904785,7.500000476837158,7.500000476837158,9.756096839904785,7.500000476837158,15.384615898132324,9.756096839904785,5,7846793216,4294963200,2161451008,524288
1,1729704031111,694.642333984375,1600,2,0.75,694.6423645019531,1600,2,0.75,611.3340148925781,1600,2,0.75,611.3340148925781,1600,2,0.75,22984.737518310547,1283,1286,2833,1600,1600,1286,2347,2471,0,20,0,0,0,0,0,0,7846793216,4294963200,2165321728,524288
