"treatment","iterations","mean_eb_time","median_eb_time","sd_eb_time","mean_eb_time_subtraction","median_eb_time_subtraction","sd_eb_time_subtraction","mean_profiler_time","median_profiler_time","sd_profiler_time","mean_cpu_energy","median_cpu_energy","sd_cpu_energy","mean_cpu_usage","median_cpu_usage","sd_cpu_usage","mean_used_memory","median_used_memory","sd_used_memory","mean_used_swap","median_used_swap","sd_used_swap"
"Default Loop",100000,399.75,400,0.447213595499958,400.8125,401,0.403112887414928,0.811654508125,0.8133307695,0.0235178497914198,80955.242375,44881.726,99181.5840699588,7.9642109375,7.932875,0.331464778542249,1897319168,1896628224,4839173.88706196,524288,524288,0
"Default Loop",10000000,16316.875,15911,774.461178282467,16407.0625,16007,776.453773575736,16.818124471875,16.425049065,0.776805064992656,2547426.743,1250422.061,2273755.70548706,12.4915859375,12.491375,0.0357036330653127,3104586496,3101921280,10342870.1202195,524288,524288,0
"Loop Unswitching",100000,548.9375,599,89.257282616042,550.75,601,89.5927824473973,0.945017635875,0.975864768,0.0866220976946274,121704.9226875,67994.79,119067.163594518,9.4921953125,9.2006875,0.955721885723856,1891948544,1892995072,8613058.43727739,524288,524288,0
"Loop Unswitching",10000000,36425.4375,35921.5,1961.29039049125,36627.625,36113,1974.47531849181,37.035704538125,36.533229115,1.99264779853356,5947314.5685625,2672232.1445,5103026.56035959,13.363203125,12.568875,3.20248718670186,3114432768,3105802240,40143085.0841289,524288,524288,0
