Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729701868796,689.7257232666016,1600,2,0.74375,689.7257232666016,1600,2,0.74375,606.7183990478516,1600,2,0.74375,606.7183990478516,1600,2,0.74375,20354.339950561523,1286,1285,1453,2707,1424,1331,1286,1600,9.756096839904785,10,10,10,7.500000476837158,7.692307949066162,17.5,7.692307949066162,7846793216,4294963200,2163695616,524288
200,1729701868797,689.7257690429688,1600,2,0.74375,689.7257690429688,1600,2,0.74375,606.7184143066406,1600,2,0.74375,606.7184143066406,1600,2,0.74375,20354.34425354004,1286,1285,1453,2707,1424,1331,1286,1600,9.756096839904785,10,10,10,7.500000476837158,7.692307949066162,17.5,7.692307949066162,7846793216,4294963200,2163953664,524288
1,1729701868997,689.7265167236328,1600,2,0.9125,689.7265167236328,1600,2,0.9125,606.7193756103516,1600,2,0.9125,606.7193756103516,1600,2,0.9125,20354.64402770996,1286,1285,1453,2707,1424,1331,1286,1600,0,0,0,0,0,0,0,10,7846793216,4294963200,2163150848,524288
