Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729700427532,686.30126953125,1600,2,0.75,686.30126953125,1600,2,0.75,603.1813354492188,1600,2,0.75,603.1813354492188,1600,2,0.75,18600.791137695313,1286,1286,2391,2200,1284,1335,2434,1902,9.523809432983398,9.756096839904785,9.523809432983398,14.634145736694336,7.317072868347168,7.500000476837158,7.317072868347168,7.317072868347168,7846793216,4294963200,2158747648,524288
200,1729700427532,686.3013153076172,1600,2,0.75,686.3013153076172,1600,2,0.75,603.1817474365234,1600,2,0.75,603.1817474365234,1600,2,0.75,18600.79542541504,1286,1286,2391,2200,1284,1335,2434,1902,9.523809432983398,9.756096839904785,9.523809432983398,14.634145736694336,7.317072868347168,7.500000476837158,7.317072868347168,7.317072868347168,7846793216,4294963200,2158747648,524288
1,1729700427733,686.3023071289063,1600,2,0.9125,686.3023071289063,1600,2,0.9125,603.1829986572266,1600,2,0.9125,603.1829986572266,1600,2,0.9125,18601.208709716797,1286,1286,2391,2200,1284,1335,2434,1902,0,0,0,5,0,0,0,31.57894515991211,7846793216,4294963200,2166747136,524288
