Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729711837875,709.4177093505859,1600,2,0.74375,709.4177093505859,1600,2,0.74375,634.3552551269531,1600,2,0.74375,634.3556976318359,1600,2,0.74375,32520.64714050293,3675,3672,1507,2351,1600,1507,1507,1600,10,15.789472579956055,10,5.128205299377441,10.256410598754883,7.500000476837158,7.692307949066162,10,7846793216,4294963200,2166931456,524288
200,1729711837875,709.4180755615234,1600,2,0.74375,709.4180755615234,1600,2,0.74375,634.3556976318359,1600,2,0.74375,634.3556976318359,1600,2,0.74375,32520.64714050293,3675,3672,1507,2351,1600,1507,1507,1600,10,15.789472579956055,10,5.128205299377441,10.256410598754883,7.500000476837158,7.692307949066162,10,7846793216,4294963200,2166931456,524288
1,1729711838076,709.4190979003906,1600,2,0.75,709.4190979003906,1450,2,0.74375,634.3820343017578,2900,0,0.74375,634.3820343017578,2900,0,0.74375,32520.97412109375,3675,3672,1507,2351,1600,1507,1507,1600,0,0,15.789472579956055,0,0,0,0,0,7846793216,4294963200,2174930944,524288
