__run_id,__done,subject,treatment,iterations,total_cpu_energy,average_cpu_usage,used_memory,used_swap,eb_time,eb_time_subtraction,profiler_time
run_2_repetition_14,DONE,CogVideo,Loop Unswitching,100000,64892.659,9.391,1892749312,524288,599,601,0.93808341
run_1_repetition_4,DONE,CogVideo,Default Loop,10000000,1081548.247,12.521125,3096678400,524288,15891,16007,16.41702175
run_7_repetition_1,DONE,Sherlock,Loop Unrolling,10000000,496755.777,12.528125,4757143552,524288,6967,7003,7.424249411
run_1_repetition_7,DONE,CogVideo,Default Loop,10000000,1106575.627,12.46225,3107078144,524288,15723,15806,16.21399426
run_0_repetition_6,DONE,CogVideo,Default Loop,100000,55486.39,8.1485,1887264768,524288,400,400,0.802550554
run_7_repetition_5,DONE,Sherlock,Loop Unrolling,10000000,519643.925,12.8985,4721442816,524288,6967,7003,7.40809679
run_2_repetition_3,DONE,CogVideo,Loop Unswitching,100000,71096.921,9.573,1899012096,524288,599,600,0.946619749
run_2_repetition_15,DONE,CogVideo,Loop Unswitching,100000,71842.055,8.859,1897590784,524288,599,601,1.006349564
run_2_repetition_7,DONE,CogVideo,Loop Unswitching,100000,58071.235,10.757375,1896624128,524288,399,400,0.827018261
run_7_repetition_7,DONE,Sherlock,Loop Unrolling,10000000,528858.964,12.567375,4723847168,524288,6769,6804,7.223888159
run_1_repetition_3,DONE,CogVideo,Default Loop,10000000,1208985.698,12.44025,3109019648,524288,15724,15808,16.26582074
run_1_repetition_1,DONE,CogVideo,Default Loop,10000000,1291858.424,12.458875,3126239232,524288,16519,16608,17.02367473
run_4_repetition_15,DONE,Sherlock,Default Loop,100000,46231.62,8.027375,1912434688,524288,201,201,0.619444609
run_5_repetition_6,DONE,Sherlock,Default Loop,10000000,623453.315,12.54125,4715339776,524288,7564,7604,8.018192053
run_7_repetition_15,DONE,Sherlock,Loop Unrolling,10000000,584110.934,12.423625,4763873280,524288,6945,7004,7.420118809
run_7_repetition_8,DONE,Sherlock,Loop Unrolling,10000000,591452.666,12.699,4763799552,524288,6968,7005,7.361310959
run_2_repetition_9,DONE,CogVideo,Loop Unswitching,100000,80799.687,8.49475,1892831232,524288,598,601,1.023340225
run_3_repetition_3,DONE,CogVideo,Loop Unswitching,10000000,3009567.665,12.55275,3105071104,524288,36022,36214,36.64502883
run_5_repetition_3,DONE,Sherlock,Default Loop,10000000,653866.121,12.587,4758245376,524288,7365,7403,7.809809923
