"treatment","iterations","shapiro_p_eb_time","shapiro_p_total_cpu_energy","shapiro_p_average_cpu_usage","shapiro_p_used_memory"
"Default Loop",100000,5.27216296439224e-06,0.00023591808786111,0.00613695793553522,0.810746218643242
"Default Loop",10000000,0.00330670726027748,0.00272320087046381,0.607121154812875,0.018073589207551
"Loop Unswitching",100000,5.54511716644957e-06,0.0012479916933337,0.0246814101865432,0.663214556908986
"Loop Unswitching",10000000,0.000100912463072604,0.00201311353139045,4.98215836100924e-08,6.03242815496913e-07
