"Metric","Chi.squared.Stat","p.value","Degrees.of.Freedom"
"total_cpu_energy",5.19035019985466,0.0746328067312133,2
"average_cpu_usage",7.06592683038485,0.0292182017825244,2
"used_memory",10.4979106104651,0.0052530033187296,2
"eb_time",21.4421090171486,2.20752274376881e-05,2
