"treatment","iterations","shapiro_p_eb_time","shapiro_p_total_cpu_energy","shapiro_p_average_cpu_usage","shapiro_p_used_memory"
"Default Loop",100000,4.55310816542029e-08,0.000132920110125626,0.367712973920703,2.36108526242275e-07
"Default Loop",10000000,9.88170895582513e-06,0.0015083067049225,0.532775867471638,0.0252240850388057
"Loop Unrolling",100000,1.57549107750043e-06,0.000231739034607579,0.00195707818921185,0.629735666336192
"Loop Unrolling",10000000,0.000114806379190425,0.000230356849741556,0.190581610154306,0.176454987606284
