Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729704751342,695.9530487060547,1600,2,0.74375,695.9530487060547,1600,2,0.74375,612.8771057128906,1600,2,0.74375,612.8771057128906,1600,2,0.74375,23864.261672973633,1323,1600,2075,2480,1367,1600,1298,1367,7.692307949066162,12.195121765136719,15.384615898132324,9.756096839904785,7.500000476837158,5.128205299377441,7.317072868347168,9.756096839904785,7846793216,4294963200,2168705024,524288
200,1729704751342,695.9530792236328,1600,2,0.74375,695.9530792236328,1600,2,0.74375,612.8776245117188,1600,2,0.74375,612.8776245117188,1600,2,0.74375,23864.265899658203,1323,1600,2075,2480,1367,1600,1298,1367,7.692307949066162,12.195121765136719,15.384615898132324,9.756096839904785,7.500000476837158,5.128205299377441,7.317072868347168,9.756096839904785,7846793216,4294963200,2168705024,524288
1,1729704751542,695.9542083740234,1450,2,0.75,695.9542083740234,1450,2,0.75,612.8787994384766,2900,0,0.75,612.8787994384766,2900,0,0.75,23864.577377319336,1323,1600,2075,2480,1367,1600,1298,1367,0,0,0,0,10,0,0,4.761904716491699,7846793216,4294963200,2170511360,524288
