Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729706312609,698.9341430664063,1600,2,0.74375,698.9341430664063,1600,2,0.74375,617.5231628417969,1600,2,0.74375,617.5231628417969,1600,2,0.74375,25771.88948059082,1286,1286,2883,1455,1440,1286,1600,1286,9.090909004211426,6.060606002807617,8.823529243469238,6.060606002807617,8.823529243469238,11.764705657958984,9.375,18.75,7846793216,4294963200,2167685120,524288
200,1729706312610,698.9346771240234,1600,2,0.74375,698.9346771240234,1600,2,0.74375,617.5231628417969,1600,2,0.74375,617.5231628417969,1600,2,0.74375,25771.893676757813,1286,1286,2883,1455,1440,1286,1600,1286,9.090909004211426,6.060606002807617,8.823529243469238,6.060606002807617,8.823529243469238,11.764705657958984,9.375,18.75,7846793216,4294963200,2167943168,524288
1,1729706312810,699.0069274902344,1600,2,0.74375,699.0069274902344,1600,2,0.74375,617.5235290527344,1600,2,0.74375,617.5235290527344,1600,2,0.74375,25772.303588867188,1286,1286,2883,1455,1440,1286,1600,1286,33.333335876464844,0,0,0,0,0,0,0,7846793216,4294963200,2175942656,524288
