Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729699106535,684.21435546875,1600,2,0.75,684.21435546875,1600,2,0.75,600.0363159179688,1600,2,0.75,600.0363159179688,1600,2,0.75,16990.627014160156,1471,1415,2656,1471,1286,1600,1596,1286,11.428571701049805,9.090909004211426,12.121212005615234,6.25,15.15151596069336,11.764705657958984,11.764705657958984,9.090909004211426,7846793216,4294963200,2162614272,524288
200,1729699106535,684.2143707275391,1600,2,0.75,684.2143707275391,1600,2,0.75,600.0363159179688,1600,2,0.75,600.0363159179688,1600,2,0.75,16990.631240844727,1471,1415,2656,1471,1286,1600,1596,1286,11.428571701049805,9.090909004211426,12.121212005615234,6.25,15.15151596069336,11.764705657958984,11.764705657958984,9.090909004211426,7846793216,4294963200,2162872320,524288
1,1729699106736,684.2145385742188,1450,2,0.74375,684.2145385742188,1450,2,0.74375,600.0366516113281,1450,2,0.74375,600.0366516113281,1450,2,0.74375,16990.97348022461,1471,1415,2656,1471,1286,1600,1596,1286,0,0,0,0,0,0,0,25,7846793216,4294963200,2170871808,524288
