Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729698506122,683.2010955810547,1600,2,0.75,683.2010955810547,1600,2,0.75,598.7121887207031,1600,2,0.75,598.7121887207031,1600,2,0.75,16256.127868652344,1286,1403,2895,1600,1286,1350,1330,2117,17.073171615600586,5,7.500000476837158,9.523809432983398,7.317072868347168,7.500000476837158,7.317072868347168,9.756096839904785,7846793216,4294963200,2173595648,524288
200,1729698506122,683.2015533447266,1600,2,0.75,683.2015533447266,1600,2,0.75,598.7122192382813,1600,2,0.75,598.7122192382813,1600,2,0.75,16256.132080078125,1286,1403,2895,1600,1286,1350,1330,2117,17.073171615600586,5,7.500000476837158,9.523809432983398,7.317072868347168,7.500000476837158,7.317072868347168,9.756096839904785,7846793216,4294963200,2173595648,524288
1,1729698506323,683.2028961181641,1600,2,0.74375,683.2028961181641,1600,2,0.74375,598.7129821777344,1600,2,0.74375,598.7129821777344,1600,2,0.74375,16256.4375,1286,1403,2895,1600,1286,1350,1330,2117,4.761904716491699,0,0,0,0,0,10,0,7846793216,4294963200,2173853696,524288
