Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729699346734,684.6562042236328,1600,2,0.74375,684.6562042236328,1600,2,0.74375,600.7422790527344,1600,2,0.74375,600.7422790527344,1600,2,0.74375,17285.316970825195,1439,1600,1576,1600,1436,1587,1598,1282,5.128205299377441,10,7.692307949066162,10.526315689086914,7.692307949066162,17.5,10.256410598754883,7.692307949066162,7846793216,4294963200,2154618880,524288
200,1729699346734,684.6562194824219,1600,2,0.74375,684.6562194824219,1600,2,0.74375,600.7422790527344,1600,2,0.74375,600.7422790527344,1600,2,0.74375,17285.321197509766,1439,1600,1576,1600,1436,1587,1598,1282,5.128205299377441,10,7.692307949066162,10.526315689086914,7.692307949066162,17.5,10.256410598754883,7.692307949066162,7846793216,4294963200,2155393024,524288
1,1729699346935,684.6564331054688,1450,2,0.74375,684.6564331054688,1450,2,0.74375,600.7430877685547,2900,0,0.74375,600.7430877685547,2900,0,0.74375,17285.65557861328,1439,1600,1576,1600,1436,1587,1598,1282,0,0,0,0,0,0,20,4.761904716491699,7846793216,4294963200,2163134464,524288
