Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729703190126,692.1556701660156,1600,2,0.74375,692.1556701660156,1600,2,0.74375,609.6056671142578,1600,2,0.74375,609.6056671142578,1600,2,0.74375,21959.15951538086,1518,1594,1496,1688,1596,1364,1507,1545,10,7.894736289978027,7.692307949066162,15.000000953674316,7.692307949066162,7.692307949066162,10,7.692307949066162,7846793216,4294963200,2151903232,524288
200,1729703190126,692.1556854248047,1600,2,0.74375,692.1556854248047,1600,2,0.74375,609.6061706542969,1600,2,0.74375,609.6061706542969,1600,2,0.74375,21959.163681030273,1518,1594,1496,1688,1596,1364,1507,1545,10,7.894736289978027,7.692307949066162,15.000000953674316,7.692307949066162,7.692307949066162,10,7.692307949066162,7846793216,4294963200,2151903232,524288
1,1729703190326,692.1561431884766,1600,2,0.74375,692.1561431884766,1600,2,0.74375,609.6074371337891,1600,2,0.74375,609.6074371337891,1600,2,0.74375,21959.65641784668,1518,1594,1496,1688,1596,1364,1507,1545,0,0,0,4.761904716491699,42.85714340209961,0,0,0,7846793216,4294963200,2157322240,524288
