Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729706793087,699.7349700927734,1600,2,0.74375,699.7349700927734,1600,2,0.74375,619.1400146484375,1600,2,0.74375,619.1400146484375,1600,2,0.74375,26357.929428100586,1502,1447,1600,3180,1492,1600,1503,1600,13.1578950881958,7.894736289978027,7.692307949066162,9.756096839904785,5.263157844543457,9.756096839904785,12.5,7.692307949066162,7846793216,4294963200,2166583296,524288
200,1729706793087,699.7349700927734,1600,2,0.74375,699.7349700927734,1600,2,0.74375,619.1405487060547,1600,2,0.74375,619.1405487060547,1600,2,0.74375,26357.933639526367,1502,1447,1600,3180,1492,1600,1503,1600,13.1578950881958,7.894736289978027,7.692307949066162,9.756096839904785,5.263157844543457,9.756096839904785,12.5,7.692307949066162,7846793216,4294963200,2166841344,524288
1,1729706793287,699.7367553710938,1450,2,0.74375,699.7367553710938,1450,2,0.74375,619.1677551269531,2900,0,0.74375,619.1677551269531,2900,0,0.74375,26358.256744384766,1502,1447,1600,3180,1492,1600,1503,1600,0,0,20,0,4.545454502105713,0,0,0,7846793216,4294963200,2174840832,524288
