"subject","iterations","Default Loop","Loop Unswitching","Loop Unrolling","improvement_100k","improvement_10m"
"CogVideo",100000,202.504805046992,222.229428833346,NA,9.74032383171182,NA
"CogVideo",10000000,157.484723356665,162.705904827101,NA,NA,3.31535742588245
"Sherlock",100000,295.237687005597,NA,432.279211871891,46.4173548628619,NA
"Sherlock",10000000,187.507878662832,NA,118.442311974957,NA,-36.8334211769657
