Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729710396260,706.6410827636719,1450,2,0.74375,706.6410827636719,1450,2,0.74375,629.5841979980469,1450,2,0.74375,629.5841979980469,1450,2,0.74375,30765.168884277344,1600,1286,1600,2804,1286,1600,2460,2747,12.121212005615234,12.121212005615234,9.375,9.375,12.121212005615234,18.18181800842285,12.121212005615234,12.121212005615234,7846793216,4294963200,2164727808,524288
200,1729710396260,706.6410827636719,1450,2,0.74375,706.6410827636719,1450,2,0.74375,629.5847930908203,1450,2,0.74375,629.5847930908203,1450,2,0.74375,30765.174743652344,1600,1286,1600,2804,1286,1600,2460,2747,12.121212005615234,12.121212005615234,9.375,9.375,12.121212005615234,18.18181800842285,12.121212005615234,12.121212005615234,7846793216,4294963200,2164727808,524288
1,1729710396460,706.6413879394531,1450,2,0.74375,706.6413879394531,1450,2,0.74375,629.6023254394531,2900,0,0.74375,629.6023254394531,2900,0,0.74375,30765.464645385742,1600,1286,1600,2804,1286,1600,2460,2747,0,0,0,14.285715103149414,0,0,0,0,7846793216,4294963200,2169085952,524288
