Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729703310349,692.8685455322266,1600,2,0.74375,692.8685455322266,1600,2,0.74375,609.8304290771484,1600,2,0.74375,609.8304290771484,1600,2,0.74375,22106.141494750977,3609,3584,1399,1804,1451,1388,1442,1440,7.500000476837158,7.692307949066162,10,7.500000476837158,9.756096839904785,12.195121765136719,17.5,9.756096839904785,7846793216,4294963200,2161192960,524288
200,1729703310349,692.8690032958984,1600,2,0.74375,692.8690032958984,1600,2,0.74375,609.8304290771484,1600,2,0.74375,609.8304290771484,1600,2,0.74375,22106.141494750977,3609,3584,1399,1804,1451,1388,1442,1440,7.500000476837158,7.692307949066162,10,7.500000476837158,9.756096839904785,12.195121765136719,17.5,9.756096839904785,7846793216,4294963200,2161451008,524288
1,1729703310550,692.8968811035156,1600,2,0.74375,692.8968811035156,1450,2,0.74375,609.8308563232422,2900,0,0.74375,609.8308563232422,2900,0,0.74375,22106.47444152832,3609,3584,1399,1804,1451,1388,1442,1440,19.047618865966797,0,0,0,0,0,0,0,7846793216,4294963200,2169708544,524288
