Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729700907953,687.8749084472656,1600,2,0.74375,687.8752136230469,1600,2,0.74375,604.2088928222656,1600,2,0.74375,604.2088928222656,1600,2,0.74375,19188.32322692871,1286,1286,2768,2646,1286,1600,1653,1615,10,7.500000476837158,15.384615898132324,7.500000476837158,9.756096839904785,9.756096839904785,9.756096839904785,5.128205299377441,7846793216,4294963200,2172010496,524288
200,1729700907953,687.8752136230469,1600,2,0.74375,687.8752136230469,1600,2,0.74375,604.2094268798828,1600,2,0.74375,604.2094268798828,1600,2,0.74375,19188.327423095703,1286,1286,2768,2646,1286,1600,1653,1615,10,7.500000476837158,15.384615898132324,7.500000476837158,9.756096839904785,9.756096839904785,9.756096839904785,5.128205299377441,7846793216,4294963200,2172010496,524288
1,1729700908153,687.9933013916016,1450,2,0.75,687.9933013916016,1450,2,0.75,604.2102661132813,2900,0,0.75,604.2102661132813,2900,0,0.75,19188.819244384766,1286,1286,2768,2646,1286,1600,1653,1615,40,4.761904716491699,0,0,0,0,0,0,7846793216,4294963200,2175852544,524288
