Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729708594855,703.5121002197266,1600,2,0.74375,703.5121002197266,1600,2,0.74375,624.6622924804688,1600,2,0.74375,624.6622924804688,1600,2,0.74375,28565.820419311523,3559,3492,1781,2193,1499,1500,1474,1600,5.128205299377441,9.756096839904785,10,17.5,7.692307949066162,7.692307949066162,12.5,7.500000476837158,7846793216,4294963200,2162774016,524288
200,1729708594855,703.5121002197266,1600,2,0.74375,703.5121002197266,1600,2,0.74375,624.6627044677734,1600,2,0.9125,624.6627044677734,1600,2,0.9125,28565.82472229004,3559,3492,1781,2193,1499,1500,1474,1600,5.128205299377441,9.756096839904785,10,17.5,7.692307949066162,7.692307949066162,12.5,7.500000476837158,7846793216,4294963200,2163032064,524288
1,1729708595055,703.5123748779297,1600,2,0.9125,703.5123748779297,1600,2,0.9125,624.6651306152344,1600,2,0.9125,624.6651306152344,1450,2,0.74375,28566.148651123047,3559,3492,1781,2193,1499,1500,1474,1600,0,0,0,4.761904716491699,0,19.047618865966797,0,0,7846793216,4294963200,2171801600,524288
