Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729699706944,685.1597137451172,1600,2,0.74375,685.1597137451172,1600,2,0.74375,601.5083923339844,1600,2,0.74375,601.5083923339844,1600,2,0.74375,17724.05145263672,1600,2872,2803,1609,1286,1600,1284,1286,7.500000476837158,7.500000476837158,7.692307949066162,17.5,7.692307949066162,7.692307949066162,7.500000476837158,7.692307949066162,7846793216,4294963200,2163875840,524288
199,1729699706944,685.1597595214844,1600,2,0.74375,685.1597595214844,1600,2,0.74375,601.5088195800781,1600,2,0.74375,601.5088195800781,1600,2,0.74375,17724.055953979492,1600,2872,2803,1609,1286,1600,1284,1286,7.500000476837158,7.500000476837158,7.692307949066162,17.5,7.692307949066162,7.692307949066162,7.500000476837158,7.692307949066162,7846793216,4294963200,2163875840,524288
1,1729699707144,685.1600189208984,1600,2,0.9125,685.1600189208984,1600,2,0.9125,601.5103912353516,1600,2,0.9125,601.5103912353516,1600,2,0.9125,17724.395553588867,1600,2872,2803,1609,1286,1600,1284,1286,0,0,0,0,23.809524536132813,0,0,0,7846793216,4294963200,2172329984,524288
