Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729701508482,689.1401672363281,1600,2,0.74375,689.1401672363281,1600,2,0.74375,605.9606628417969,1600,2,0.74375,605.9606628417969,1600,2,0.74375,19916.99627685547,1284,1354,1600,2372,1286,1600,1600,2846,10,9.67741870880127,6.896551609039307,6.896551609039307,16.666667938232422,10,10,9.67741870880127,7846793216,4294963200,2167476224,524288
199,1729701508482,689.1401672363281,1600,2,0.74375,689.1401672363281,1600,2,0.74375,605.9606781005859,1600,2,0.74375,605.9606781005859,1600,2,0.74375,19917.000457763672,1284,1354,1600,2372,1286,1600,1600,2846,10,9.67741870880127,6.896551609039307,6.896551609039307,16.666667938232422,10,10,9.67741870880127,7846793216,4294963200,2167476224,524288
1,1729701508682,689.1403503417969,1600,2,0.74375,689.1403503417969,1600,2,0.74375,605.9609680175781,1600,2,0.74375,605.9609680175781,1600,2,0.74375,19917.40414428711,1284,1354,1600,2372,1286,1600,1600,2846,0,0,0,0,5,0,0,35,7846793216,4294963200,2175705088,524288
