Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729708834980,703.8552856445313,1600,2,0.74375,703.8552856445313,1600,2,0.74375,625.1603088378906,1600,2,0.74375,625.1603088378906,1600,2,0.74375,28858.723739624023,1286,1298,2819,2447,2688,2855,1286,1600,7.894736289978027,5.263157844543457,15.384615898132324,10,10,5.263157844543457,7.894736289978027,5.263157844543457,7846793216,4294963200,2156654592,524288
200,1729708834980,703.8553009033203,1600,2,0.74375,703.8553009033203,1600,2,0.74375,625.1608276367188,1600,2,0.74375,625.1608276367188,1600,2,0.74375,28858.727951049805,1286,1298,2819,2447,2688,2855,1286,1600,7.894736289978027,5.263157844543457,15.384615898132324,10,10,5.263157844543457,7.894736289978027,5.263157844543457,7846793216,4294963200,2156654592,524288
1,1729708835180,703.85546875,1600,2,0.75,703.85546875,1600,2,0.75,625.1625518798828,1600,2,0.75,625.1625518798828,1600,2,0.75,28859.142623901367,1286,1298,2819,2447,2688,2855,1286,1600,0,0,0,0,0,38.095237731933594,0,0,7846793216,4294963200,2160525312,524288
