Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729709915919,705.7689819335938,1600,2,0.74375,705.7689819335938,1600,2,0.74375,628.5728912353516,1600,2,0.74375,628.5728912353516,1600,2,0.74375,30178.408279418945,1600,1654,2482,1600,1600,1285,1286,1600,7.317072868347168,18.604650497436523,9.302325248718262,9.302325248718262,11.627907752990723,4.878048419952393,7.142857551574707,9.302325248718262,7846793216,4294963200,2160889856,524288
200,1729709915920,705.7690277099609,1600,2,0.74375,705.7690277099609,1600,2,0.74375,628.5728912353516,1600,2,0.74375,628.5728912353516,1600,2,0.74375,30178.408279418945,1600,1654,2482,1600,1600,1285,1286,1600,7.317072868347168,18.604650497436523,9.302325248718262,9.302325248718262,11.627907752990723,4.878048419952393,7.142857551574707,9.302325248718262,7846793216,4294963200,2160889856,524288
1,1729709916120,705.7693328857422,1450,2,0.74375,705.7693328857422,1450,2,0.74375,628.5746765136719,1450,2,0.74375,628.5746765136719,1450,2,0.74375,30178.82894897461,1600,1654,2482,1600,1600,1285,1286,1600,0,0,0,0,0,33.333335876464844,4.761904716491699,0,7846793216,4294963200,2169118720,524288
