Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729703790781,694.191650390625,1600,2,0.74375,694.1916656494141,1600,2,0.74375,610.8043975830078,1600,2,0.74375,610.8043975830078,1600,2,0.74375,22691.7400970459,3634,1600,2321,1600,1507,1600,1507,1363,5,5,7.500000476837158,5,7.500000476837158,7.500000476837158,17.5,7.317072868347168,7846793216,4294963200,2160230400,524288
200,1729703790781,694.1916656494141,1600,2,0.74375,694.1916656494141,1600,2,0.74375,610.804931640625,1600,2,0.74375,610.804931640625,1600,2,0.74375,22691.744430541992,3634,1600,2321,1600,1507,1600,1507,1363,5,5,7.500000476837158,5,7.500000476837158,7.500000476837158,17.5,7.317072868347168,7846793216,4294963200,2160230400,524288
1,1729703790981,694.1919250488281,1450,2,0.74375,694.1919250488281,1450,2,0.74375,610.8327941894531,2900,0,0.74375,610.8327941894531,2900,0,0.74375,22692.07064819336,3634,1600,2321,1600,1507,1600,1507,1363,0,0,0,22.72727394104004,0,0,4.761904716491699,0,7846793216,4294963200,2168459264,524288
