"treatment","iterations","mean_eb_time","median_eb_time","sd_eb_time","min_eb_time","max_eb_time","Q1_eb_time","Q3_eb_time","mean_eb_time_subtraction","median_eb_time_subtraction","sd_eb_time_subtraction","min_eb_time_subtraction","max_eb_time_subtraction","Q1_eb_time_subtraction","Q3_eb_time_subtraction","mean_profiler_time","median_profiler_time","sd_profiler_time","min_profiler_time","max_profiler_time","Q1_profiler_time","Q3_profiler_time","mean_cpu_energy","median_cpu_energy","sd_cpu_energy","min_cpu_energy","max_cpu_energy","Q1_cpu_energy","Q3_cpu_energy","mean_cpu_usage","median_cpu_usage","sd_cpu_usage","min_cpu_usage","max_cpu_usage","Q1_cpu_usage","Q3_cpu_usage","mean_used_memory","median_used_memory","sd_used_memory","min_used_memory","max_used_memory","Q1_used_memory","Q3_used_memory","mean_used_swap","median_used_swap","sd_used_swap","min_used_swap","max_used_swap","Q1_used_swap","Q3_used_swap"
"Default Loop",100000,399.75,400,0.447213595499958,399,400,399.75,400,400.8125,401,0.403112887414928,400,401,401,401,0.811654508125,0.8133307695,0.0235178497914198,0.736129522,0.842195988,0.805138528,0.82310765975,80955.242375,44881.726,99181.5840699588,1386.836,261848.708,10449.04675,98263.68,7.9642109375,7.932875,0.331464778542249,7.41775,8.982375,7.82675,8.05809375,1897319168,1896628224,4839173.88706196,1887264768,1905643520,1894298624,1901129728,524288,524288,0,524288,524288,524288,524288
"Default Loop",10000000,16316.875,15911,774.461178282467,15523,17714,15723,16669.75,16407.0625,16007,776.453773575736,15606,17807,15807,16757.75,16.818124471875,16.425049065,0.776805064992656,16.01343942,18.24234843,16.23162073,17.17131311,2547426.743,1250422.061,2273755.70548706,11111.94,5655763.306,521087.805,4851646.4785,12.4915859375,12.491375,0.0357036330653127,12.44025,12.568125,12.46271875,12.51475,3104586496,3101921280,10342870.1202195,3093864448,3126239232,3096438784,3107563520,524288,524288,0,524288,524288,524288,524288
"Loop Unswitching",100000,548.9375,599,89.257282616042,399,599,548.5,599,550.75,601,89.5927824473973,400,601,550.25,601,0.945017635875,0.975864768,0.0866220976946274,0.802537203,1.035261154,0.889571309,1.013880849,121704.9226875,67994.79,119067.163594518,7435.462,326565.484,30266.83925,257127.86275,9.4921953125,9.2006875,0.955721885723856,8.49475,11.393125,8.8238125,9.78771875,1891948544,1892995072,8613058.43727739,1872826368,1904893952,1885965312,1897636864,524288,524288,0,524288,524288,524288,524288
"Loop Unswitching",10000000,36425.4375,35921.5,1961.29039049125,34803,42979,35401.25,36619,36627.625,36113,1974.47531849181,35015,43235,35613,36814.5,37.035704538125,36.533229115,1.99264779853356,35.41855478,43.74488473,36.015285135,37.178566815,5947314.5685625,2672232.1445,5103026.56035959,214935.837,13126659.39,1700158.40675,11452427.48,13.363203125,12.568875,3.20248718670186,12.527125,25.37225,12.54578125,12.58059375,3114432768,3105802240,40143085.0841289,3087601664,3262439424,3103506432,3109216256,524288,524288,0,524288,524288,524288,524288
