Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729698746419,683.5513153076172,1600,2,0.74375,683.5513153076172,1600,2,0.74375,599.2376708984375,1600,2,0.74375,599.2376708984375,1600,2,0.74375,16549.590591430664,1600,1600,2246,2402,3359,1600,1392,1497,7.142857551574707,4.878048419952393,14.634145736694336,9.302325248718262,9.523809432983398,7.317072868347168,7.142857551574707,4.878048419952393,7846793216,4294963200,2166173696,524288
200,1729698746419,683.5513305664063,1600,2,0.74375,683.5513305664063,1600,2,0.74375,599.2381744384766,1600,2,0.74375,599.2381744384766,1600,2,0.74375,16549.595489501953,1600,1600,2246,2402,3359,1600,1392,1497,7.142857551574707,4.878048419952393,14.634145736694336,9.302325248718262,9.523809432983398,7.317072868347168,7.142857551574707,4.878048419952393,7846793216,4294963200,2166173696,524288
1,1729698746619,683.5521392822266,1600,2,0.75,683.5521392822266,1600,2,0.75,599.2400360107422,1600,2,0.75,599.2400360107422,1600,2,0.75,16549.934005737305,1600,1600,2246,2402,3359,1600,1392,1497,0,0,0,0,15.000000953674316,0,0,0,7846793216,4294963200,2174619648,524288
