Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729705832385,698.17822265625,1600,2,0.74375,698.17822265625,1600,2,0.74375,616.4477233886719,1600,2,0.74375,616.4477233886719,1600,2,0.74375,25186.261032104492,1507,1388,3243,2200,1600,1507,1507,1600,10.256410598754883,5.263157844543457,15.384615898132324,7.692307949066162,7.692307949066162,5.128205299377441,7.692307949066162,7.692307949066162,7846793216,4294963200,2160652288,524288
200,1729705832385,698.17822265625,1600,2,0.74375,698.17822265625,1600,2,0.74375,616.4481353759766,1600,2,0.74375,616.4481353759766,1600,2,0.74375,25186.265380859375,1507,1388,3243,2200,1600,1507,1507,1600,10.256410598754883,5.263157844543457,15.384615898132324,7.692307949066162,7.692307949066162,5.128205299377441,7.692307949066162,7.692307949066162,7846793216,4294963200,2160652288,524288
1,1729705832585,698.178955078125,1600,2,0.74375,698.178955078125,1600,2,0.74375,616.4494171142578,1600,2,0.74375,616.4494171142578,1600,2,0.74375,25186.592727661133,1507,1388,3243,2200,1600,1507,1507,1600,0,0,0,0,19.047618865966797,0,4.761904716491699,0,7846793216,4294963200,2169589760,524288
