Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729710156188,706.1950531005859,1600,2,0.74375,706.1950531005859,1600,2,0.74375,629.0957946777344,1600,2,0.74375,629.0957946777344,1600,2,0.74375,30473.13589477539,1286,1285,2844,1966,2696,1600,1286,1286,10,10,7.500000476837158,9.756096839904785,10.256410598754883,7.500000476837158,19.51219367980957,7.500000476837158,7846793216,4294963200,2168188928,524288
200,1729710156188,706.1954803466797,1600,2,0.74375,706.1954803466797,1600,2,0.74375,629.0958099365234,1600,2,0.74375,629.0958099365234,1600,2,0.74375,30473.140106201172,1286,1285,2844,1966,2696,1600,1286,1286,10,10,7.500000476837158,9.756096839904785,10.256410598754883,7.500000476837158,19.51219367980957,7.500000476837158,7846793216,4294963200,2168188928,524288
1,1729710156388,706.3169555664063,1600,2,0.75,706.3169555664063,1600,2,0.75,629.0962066650391,2900,0,0.74375,629.0962066650391,2900,0,0.74375,30473.654251098633,1286,1285,2844,1966,2696,1600,1286,1286,42.105262756347656,0,0,0,4.545454502105713,0,0,0,7846793216,4294963200,2169192448,524288
